iter	RMSE
0	47.24306017
1	43.44386713
2	39.97617605
3	36.8085768
4	33.92598978
5	31.30430908
6	29.05601752
7	27.03355758
8	25.0569287
9	23.36948023
10	21.78586093
11	20.34697369
12	19.05701202
13	17.81549418
14	16.72581041
15	15.73882943
16	14.88822299
17	14.08397294
18	13.35820194
19	12.71163559
20	12.15025663
21	11.62972144
22	11.13837116
23	10.69297274
24	10.23788785
25	9.834513388
26	9.515813669
27	9.186700597
28	8.865509378
29	8.624636488
30	8.384021738
31	8.160621306
32	7.94665481
33	7.728134029
34	7.572890989
35	7.408986123
36	7.257543743
37	7.122477185
38	6.993178544
39	6.787002725
40	6.679423791
41	6.58626847
42	6.463455865
43	6.379233119
44	6.293900939
45	6.228660419
46	6.11231947
47	6.009147399
48	5.934768266
49	5.878385531
50	5.769628107
51	5.725011188
52	5.625458418
53	5.550010911
54	5.467478464
55	5.425066993
56	5.386149683
57	5.345540989
58	5.288957274
59	5.256457286
60	5.195200365
61	5.169260027
62	5.13867363
63	5.107485773
64	5.087440837
65	5.02422762
66	5.001110027
67	4.941448589
68	4.924944187
69	4.906942924
70	4.861681876
71	4.842973899
72	4.824208153
73	4.797185005
74	4.759794235
75	4.728085979
76	4.710027046
77	4.685284102
78	4.662410281
79	4.64600036
80	4.635104466
81	4.617964926
82	4.605821413
83	4.595700683
84	4.584433628
85	4.567582327
86	4.553829118
87	4.543005965
88	4.527496961
89	4.515535283
90	4.504090449
91	4.489886374
92	4.479370191
93	4.472545959
94	4.463338188
95	4.449121203
96	4.431821987
97	4.422126713
98	4.414188548
99	4.406097292
100	4.397687799
101	4.385454783
102	4.364851436
103	4.355271777
104	4.344310373
105	4.326442158
106	4.317431984
107	4.29828445
108	4.289205801
109	4.272180499
110	4.264276053
111	4.256441635
112	4.249529763
113	4.239935783
114	4.231561564
115	4.226267743
116	4.217154875
117	4.205817857
118	4.200829132
119	4.193926094
120	4.188017856
121	4.173481688
122	4.157707948
123	4.152269617
124	4.14305671
125	4.1314906
126	4.123711266
127	4.119418736
128	4.113054668
129	4.099836265
130	4.091336386
131	4.079703418
132	4.075030287
133	4.069329002
134	4.062410403
135	4.05572905
136	4.051465421
137	4.044761377
138	4.032425363
139	4.020517785
140	4.013953082
141	4.007135619
142	4.002360529
143	3.990640494
144	3.984671114
145	3.978880991
146	3.969549765
147	3.963510859
148	3.960548663
149	3.955937079
150	3.94856922
151	3.944457898
152	3.939936569
153	3.932566145
154	3.924594816
155	3.921397359
156	3.917130434
157	3.908412156
158	3.90032844
159	3.895466739
160	3.890756027
161	3.883999786
162	3.88047129
163	3.876475986
164	3.871783135
165	3.865408071
166	3.860271087
167	3.850865246
168	3.848755674
169	3.846095563
170	3.838919102
171	3.833520105
172	3.825532375
173	3.820583661
174	3.818315365
175	3.813825358
176	3.809784418
177	3.806893582
178	3.802525184
