iter	Passed	Remaining
0	0	167
1	0	166
2	1	156
3	1	152
4	1	151
5	2	150
6	2	151
7	2	151
8	3	151
9	3	150
10	3	150
11	4	148
12	4	148
13	4	148
14	5	148
15	5	147
16	5	146
17	6	147
18	6	146
19	6	145
20	7	144
21	7	144
22	8	144
23	8	143
24	8	143
25	9	143
26	9	142
27	9	142
28	10	141
29	10	140
30	10	140
31	11	140
32	11	139
33	11	139
34	12	139
35	12	138
36	12	138
37	13	138
38	13	137
39	13	137
40	14	137
41	14	136
42	14	136
43	15	135
44	15	135
45	15	134
46	16	134
47	16	133
48	16	133
49	17	132
50	17	132
51	17	132
52	18	131
53	18	131
54	18	131
55	19	131
56	19	130
57	20	130
58	20	130
59	20	129
60	21	129
61	21	129
62	21	129
63	22	128
64	22	128
65	22	128
66	23	127
67	23	127
68	23	127
69	24	127
70	24	126
71	25	126
72	25	126
73	25	125
74	26	125
75	26	125
76	26	124
77	27	124
78	27	124
79	27	123
80	28	123
81	28	123
82	28	122
83	29	122
84	29	121
85	29	121
86	30	121
87	30	121
88	30	120
89	31	120
90	31	119
91	32	120
92	32	119
93	32	119
94	33	119
95	33	118
96	33	118
97	34	117
98	34	117
99	34	117
100	35	116
101	35	116
102	35	115
103	36	115
104	36	115
105	36	114
106	37	114
107	37	114
108	37	113
109	38	113
110	38	112
111	38	112
112	39	112
113	39	111
114	39	111
115	40	111
116	40	110
117	40	110
118	41	110
119	41	109
120	41	109
121	42	108
122	42	108
123	43	108
124	43	107
125	43	107
126	44	107
127	44	106
128	44	106
129	45	106
130	45	105
131	45	105
132	46	105
133	46	104
134	46	104
135	47	104
136	47	103
137	47	103
138	48	102
139	48	102
140	48	102
141	49	101
142	49	101
143	49	101
144	50	100
145	50	100
146	50	99
147	51	99
148	51	99
149	51	98
150	52	98
151	52	98
152	52	97
153	53	97
154	53	97
155	53	96
156	54	96
157	54	95
158	54	95
159	55	95
160	55	95
161	55	94
162	56	94
163	56	93
164	56	93
165	57	93
166	57	92
167	57	92
168	58	92
169	58	91
170	58	91
171	59	91
172	59	90
173	59	90
174	60	89
175	60	89
176	61	89
177	61	88
178	61	88
179	62	88
180	62	87
181	62	87
182	63	87
183	63	86
184	63	86
185	64	86
186	64	85
187	64	85
188	65	85
189	65	84
190	65	84
191	66	84
192	66	83
193	66	83
194	67	82
195	67	82
196	67	82
197	68	81
198	68	81
199	68	81
200	69	80
201	69	80
202	69	80
203	70	79
204	70	79
205	70	79
206	71	78
207	71	78
208	71	78
209	72	77
210	72	77
211	72	76
212	73	76
213	73	76
214	73	75
215	74	75
216	74	75
217	74	74
218	75	74
219	75	74
220	76	74
221	76	73
222	76	73
223	77	72
224	77	72
225	77	72
226	78	71
227	78	71
228	78	71
229	78	70
230	79	70
231	79	70
232	79	69
233	80	69
234	80	68
235	80	68
236	81	68
237	81	67
238	81	67
239	82	67
240	82	66
241	82	66
242	83	66
243	83	65
244	84	65
245	84	65
246	84	64
247	85	64
248	85	64
249	85	63
250	86	63
251	86	63
252	86	62
253	87	62
254	87	62
255	87	61
256	88	61
257	88	61
258	88	60
259	89	60
260	89	60
261	90	59
262	90	59
263	90	59
264	91	58
265	91	58
266	91	58
267	92	57
268	92	57
269	92	57
270	93	56
271	93	56
272	93	56
273	94	55
274	94	55
275	94	55
276	95	54
277	95	54
278	96	54
279	96	53
280	96	53
281	97	52
282	97	52
283	97	52
284	98	51
285	98	51
286	98	51
287	99	50
288	99	50
289	99	50
290	100	49
291	100	49
292	100	49
293	101	48
294	101	48
295	101	48
296	102	47
297	102	47
298	102	47
299	103	46
300	103	46
301	103	46
302	104	45
303	104	45
304	104	45
305	105	44
306	105	44
307	106	44
308	106	43
309	106	43
310	107	43
311	107	42
312	107	42
313	108	42
314	108	41
315	108	41
316	109	41
317	109	40
318	109	40
319	110	39
320	110	39
321	110	39
322	111	38
323	111	38
324	111	38
325	112	37
326	112	37
327	112	37
328	113	36
329	113	36
330	113	36
331	114	35
332	114	35
333	115	35
334	115	34
335	115	34
336	116	34
337	116	33
338	116	33
339	117	33
340	117	32
341	117	32
342	118	32
343	118	31
344	119	31
345	119	31
346	119	30
347	120	30
348	120	30
349	120	29
350	121	29
351	121	29
352	121	28
353	122	28
354	122	27
355	122	27
356	123	27
357	123	26
358	123	26
359	124	26
360	124	25
361	124	25
362	125	25
363	125	24
364	125	24
365	126	24
366	126	23
367	126	23
368	127	23
369	127	22
370	128	22
371	128	22
372	128	21
373	129	21
374	129	21
375	129	20
376	130	20
377	130	20
378	130	19
379	131	19
380	131	18
381	131	18
382	132	18
383	132	17
384	132	17
385	134	17
386	134	17
387	134	16
388	135	16
389	135	15
390	135	15
391	136	15
392	136	14
393	136	14
394	137	14
395	137	13
396	137	13
397	138	13
398	138	12
399	138	12
400	139	12
401	139	11
402	139	11
403	140	11
404	140	10
405	140	10
406	141	10
407	141	9
408	141	9
409	142	9
410	142	8
411	142	8
412	143	7
413	143	7
414	143	7
415	144	6
416	144	6
417	145	6
418	145	5
419	145	5
420	146	5
421	146	4
422	146	4
423	147	4
424	147	3
425	147	3
426	148	3
427	148	2
428	148	2
429	149	2
430	149	1
431	150	1
432	150	1
433	150	0
434	151	0
435	151	0
